JL23_Lecanoromycetes.fasta.gz	s__Peltigera_aphthosa_JL23
JL31_Lecanoromycetes.fasta.gz	s__Peltigera_extenuata_JL31
JL33_Lecanoromycetes.fasta.gz	s__Peltigera_malacea_JL33
JL34_Lecanoromycetes.fasta.gz	s__Peltigera_evansiana_JL34
NMS1_Lecanoromycetes.fasta.gz	s__Peltigera_hydrothyria_NMS1
NMS2_Lecanoromycetes.fasta.gz	s__Peltigera_hydrothyria_NMS2
NMS4_Lecanoromycetes.fasta.gz	s__Peltigera_venosa_NMS4
NMS8_Lecanoromycetes.fasta.gz	s__Peltigera_dolichorhiza_NMS8
NMS9_Lecanoromycetes.fasta.gz	s__Peltigera_phyllidiosa_NMS9
P1030_Lecanoromycetes.fasta.gz	s__Peltigera_retifoveata
P11388_Lecanoromycetes.fasta.gz	s__Peltigera_neckeri
P11425_Lecanoromycetes.fasta.gz	s__Peltigera_aff_neorufescens
P1229_Lecanoromycetes.fasta.gz	s__Peltigera_hymenina
P2037_Lecanoromycetes.fasta.gz	s__Peltigera_aubertii
P2039_Lecanoromycetes.fasta.gz	s__Peltigera_sp_14
P2081_Lecanoromycetes.fasta.gz	s__Peltigera_canina_2
P2083_Lecanoromycetes.fasta.gz	s__Peltigera_rufescens_1
P2090_Lecanoromycetes.fasta.gz	s__Peltigera_canina_2
P2152_Lecanoromycetes.fasta.gz	s__Peltigera_soredians
P2164_Lecanoromycetes.fasta.gz	s__Peltigera_sp_17
P2170_Lecanoromycetes.fasta.gz	s__Peltigera_degenii
P2180_Lecanoromycetes.fasta.gz	s__Peltigera_ponojensis_monticola_1a
P2213_Lecanoromycetes.fasta.gz	s__Peltigera_canina_1
P3034_Lecanoromycetes.fasta.gz	s__Peltigera_occidentalis
P3068_Lecanoromycetes.fasta.gz	s__Peltigera_neopolydactyla_5
P330_Lecanoromycetes.fasta.gz	s__Peltigera_truculenta
P6447_Lecanoromycetes.fasta.gz	s__Peltigera_collina
P6465_Lecanoromycetes.fasta.gz	s__Peltigera_neopolydactyla_1
P6602_Lecanoromycetes.fasta.gz	s__Peltigera_scabrosa_1
P6636_Lecanoromycetes.fasta.gz	s__Peltigera
P6963_Lecanoromycetes.fasta.gz	s__Peltigera_nana
P8202_Lecanoromycetes.fasta.gz	s__Peltigera_latiloba
P8219_Lecanoromycetes.fasta.gz	s__Peltigera_islandica
P8231_Lecanoromycetes.fasta.gz	s__Peltigera_ponojensis_monticola_1a
P8256_Lecanoromycetes.fasta.gz	s__Peltigera_didactyla_3
P8569_Lecanoromycetes.fasta.gz	s__Peltigera_elisabethae
P8571_Lecanoromycetes.fasta.gz	s__Peltigera_praetextata
P8575_Lecanoromycetes.fasta.gz	s__Peltigera_neckeri
P8580_Lecanoromycetes.fasta.gz	s__Peltigera_canina_1
P8768_Lecanoromycetes.fasta.gz	s__Peltigera_aff_didactyla
P8840_Lecanoromycetes.fasta.gz	s__Peltigera_leucophlebia_1
P9121_Lecanoromycetes.fasta.gz	s__Peltigera_neopolydactyla_1
P943_Lecanoromycetes.fasta.gz	s__Peltigera_extenuata_2
P9728_Lecanoromycetes.fasta.gz	s__Peltigera_malacea_2
S15_Lecanoromycetes.fasta.gz	s__Peltigera_pacifica
S61_Lecanoromycetes.fasta.gz	s__Peltigera_asiatica
S64_Lecanoromycetes.fasta.gz	s__Peltigera_mikado
S67_Lecanoromycetes.fasta.gz	s__Peltigera_gayae
S88_Lecanoromycetes.fasta.gz	s__Peltigera_pulverulenta_2
S92_Lecanoromycetes.fasta.gz	s__Peltigera_sp_1
3_bin_5_chromosome.fa.gz	s__c1
Nostoc_sp_Peltigera_malacea_cyanobiont_DB3992_chromosome.fa.gz	s__c1
Nostoc_sp_Peltigera_membranacea_cyanobiont_210A_chromosome.fa.gz	s__c1
P11425_bin_6_chromosome.fa.gz	s__c1
P8231_bin_15_chromosome.fa.gz	s__c1
P8768_bin_2_chromosome.fa.gz	s__c1
8277_bin_2_chromosome.fa.gz	s__c2
Anabaena_cylindrica_PCC_7122_chromosome.fa.gz	s__c3
Aphanizomenon_flos_aquae_NIES_81_chromosome.fa.gz	s__c4
Cylindrospermum_stagnale_PCC_7417_chromosome.fa.gz	s__c5
JL23_bin_27_chromosome.fa.gz	s__c6
JL31_bin_38_chromosome.fa.gz	s__c6
P1030_bin_5_chromosome.fa.gz	s__c6
P8575_bin_3_chromosome.fa.gz	s__c6
P8577_bin_23_chromosome.fa.gz	s__c6
P8580_bin_6_chromosome.fa.gz	s__c6
X2_bin_4_chromosome.fa.gz	s__c6
JL33_bin_16_chromosome.fa.gz	s__c7
P10247_bin_16_chromosome.fa.gz	s__c7
P8690_bin_1_chromosome.fa.gz	s__c7
JL34_bin_22_chromosome.fa.gz	s__c8
P2162_bin_10_chromosome.fa.gz	s__c8
P2224_bin_14_chromosome.fa.gz	s__c8
P6524_bin_1_chromosome.fa.gz	s__c8
P6600_bin_4_chromosome.fa.gz	s__c8
P8202_bin_9_chromosome.fa.gz	s__c8
P8569_bin_1_chromosome.fa.gz	s__c8
P8570_bin_6_chromosome.fa.gz	s__c8
P8571_bin_17_chromosome.fa.gz	s__c8
S27_bin_9_chromosome.fa.gz	s__c8
S40_bin_5_chromosome.fa.gz	s__c8
Nmoss2_chromosome.fa.gz	s__c9
Nostoc_sp_KVJ20_chromosome.fa.gz	s__c9
Nmoss3_chromosome.fa.gz	s__c10
Nostoc_linckia_z4_chromosome.fa.gz	s__c10
Nmoss4_chromosome.fa.gz	s__c11
NMS1_bin_5_chromosome.fa.gz	s__c12
NMS2_bin_6_chromosome.fa.gz	s__c12
NMS4_bin_2_chromosome.fa.gz	s__c13
NMS7_bin_22_chromosome.fa.gz	s__c14
P10246_bin_4_chromosome.fa.gz	s__c14
P9728_bin_6_chromosome.fa.gz	s__c14
NMS8_bin_8_chromosome.fa.gz	s__c15
NMS9_bin_7_chromosome.fa.gz	s__c16
S44_bin_8_chromosome.fa.gz	s__c16
NOS_bin_1_chromosome.fa.gz	s__c17
P9822_bin_12_chromosome.fa.gz	s__c17
Nostoc_calcicola_FACHB_389_chromosome.fa.gz	s__c18
Nostoc_commune_NIES_4072_chromosome.fa.gz	s__c19
Nostoc_flagelliforme_CCNUN1_chromosome.fa.gz	s__c20
Nostoc_KVJ10_chromosome.fa.gz	s__c21
Nostoc_KVJ2_chromosome.fa.gz	s__c22
Nostoc_KVS11_chromosome.fa.gz	s__c22
Nostoc_linckia_NIES_25_chromosome.fa.gz	s__c23
Nostoc_punctiforme_PCC_73102_chromosome.fa.gz	s__c24
Nostoc_sp_ATCC_53789_v2_chromosome.fa.gz	s__c25
P6963_bin_9_chromosome.fa.gz	s__c25
Nostoc_sp_B_2019_chromosome.fa.gz	s__c26
Nostoc_sp_JC1668_chromosome.fa.gz	s__c27
Nostoc_sp_Lobaria_pulmonaria_5183_chromosome.fa.gz	s__c28
Nostoc_sp_Peltigera_membranacea_cyanobiont_213_chromosome.fa.gz	s__c29
Nostoc_sp_Peltigera_membranacea_cyanobiont_N6_chromosome.fa.gz	s__c29
P1229_bin_25_chromosome.fa.gz	s__c29
P2152_bin_6_chromosome.fa.gz	s__c29
P330_bin_5_chromosome.fa.gz	s__c29
P539_bin_14_chromosome.fa.gz	s__c29
P607_bin_11_chromosome.fa.gz	s__c29
Nostoc_sp_Peltigera_membranacea_cyanobiont_232_chromosome.fa.gz	s__c30
P2170_bin_4_chromosome.fa.gz	s__c30
S24_bin_12_chromosome.fa.gz	s__c30
S31_bin_7_chromosome.fa.gz	s__c30
S32_bin_15_chromosome.fa.gz	s__c30
Nostoc_sphaeroides_CCNUC1_chromosome.fa.gz	s__c31
Nostoc_sphaeroides_Kutzing_chromosome.fa.gz	s__c31
P10073_bin_12_chromosome.fa.gz	s__c32
P10264_bin_13_chromosome.fa.gz	s__c32
P12559_bin_8_chromosome.fa.gz	s__c32
P12564_bin_10_chromosome.fa.gz	s__c32
P12573_bin_6_chromosome.fa.gz	s__c32
P9895_bin_3_chromosome.fa.gz	s__c32
S10_bin_2_chromosome.fa.gz	s__c32
P10160_bin_1_chromosome.fa.gz	s__c33
P10246_bin_10_chromosome.fa.gz	s__c34
P10324_bin_2_chromosome.fa.gz	s__c35
P10894_bin_1_chromosome.fa.gz	s__c36
P8926_bin_12_chromosome.fa.gz	s__c36
P9119_bin_5_chromosome.fa.gz	s__c36
P11060_bin_1_chromosome.fa.gz	s__c37
P6447_bin_3_chromosome.fa.gz	s__c37
P11388_bin_2_chromosome.fa.gz	s__c38
P2083_bin_10_chromosome.fa.gz	s__c38
P2123_bin_17_chromosome.fa.gz	s__c38
P2180_bin_2_chromosome.fa.gz	s__c38
P12502_bin_2_chromosome.fa.gz	s__c39
P12523_bin_3_chromosome.fa.gz	s__c39
P14213_bin_4_chromosome.fa.gz	s__c39
P12521_bin_3_chromosome.fa.gz	s__c40
P12537_bin_5_chromosome.fa.gz	s__c41
P12584_bin_11_chromosome.fa.gz	s__c41
P12545_bin_5_chromosome.fa.gz	s__c42
P12560_bin_18_chromosome.fa.gz	s__c43
P12567_bin_1_chromosome.fa.gz	s__c43
P12569_bin_5_chromosome.fa.gz	s__c43
P12570_bin_5_chromosome.fa.gz	s__c43
P12578_bin_22_chromosome.fa.gz	s__c44
P12588_bin_4_chromosome.fa.gz	s__c45
P12591_bin_6_chromosome.fa.gz	s__c46
P12641_bin_9_chromosome.fa.gz	s__c47
P12642_bin_1_chromosome.fa.gz	s__c48
P12646_bin_6_chromosome.fa.gz	s__c49
P12649_bin_6_chromosome.fa.gz	s__c50
P12650_bin_7_chromosome.fa.gz	s__c51
P14264_bin_5_chromosome.fa.gz	s__c52
P14269_bin_10_chromosome.fa.gz	s__c52
P14318_bin_17_chromosome.fa.gz	s__c53
P14321_bin_11_chromosome.fa.gz	s__c54
P1574_bin_1_chromosome.fa.gz	s__c55
P2037_bin_28_chromosome.fa.gz	s__c56
P2039_bin_23_chromosome.fa.gz	s__c57
P2081_bin_11_chromosome.fa.gz	s__c58
P2090_bin_22_chromosome.fa.gz	s__c59
P2115_bin_1_chromosome.fa.gz	s__c60
S43_bin_7_chromosome.fa.gz	s__c60
P2164_bin_3_chromosome.fa.gz	s__c61
P2213_bin_24_chromosome.fa.gz	s__c62
P6636_bin_11_chromosome.fa.gz	s__c62
P3034_bin_5_chromosome.fa.gz	s__c63
S66_bin_1_chromosome.fa.gz	s__c63
S67_bin_3_chromosome.fa.gz	s__c63
P3068_bin_7_chromosome.fa.gz	s__c64
P5023_bin_4_chromosome.fa.gz	s__c65
P6620_bin_4_chromosome.fa.gz	s__c65
P6465_bin_9_chromosome.fa.gz	s__c66
P9121_bin_11_chromosome.fa.gz	s__c66
P6602_bin_13_chromosome.fa.gz	s__c67
P8857_bin_2_chromosome.fa.gz	s__c67
S51_bin_2_chromosome.fa.gz	s__c67
S52_bin_4_chromosome.fa.gz	s__c67
P8219_bin_29_chromosome.fa.gz	s__c68
P8840_bin_1_chromosome.fa.gz	s__c68
P8256_bin_3_chromosome.fa.gz	s__c69
P943_bin_5_chromosome.fa.gz	s__c70
P9639_bin_5_chromosome.fa.gz	s__c71
P9820_bin_6_chromosome.fa.gz	s__c72
S1_bin_7_chromosome.fa.gz	s__c73
S12_bin_12_chromosome.fa.gz	s__c73
S13_bin_3_chromosome.fa.gz	s__c73
S5_bin_2_chromosome.fa.gz	s__c74
S62_bin_9_chromosome.fa.gz	s__c75
S8_bin_2_chromosome.fa.gz	s__c76
S9_bin_6_chromosome.fa.gz	s__c76
